date,close,volume,open,high,low
30/12/2020,133.720001,96452100,135.580002,135.990005,133.399994
31/12/2020,132.690002,99116600,134.080002,134.740005,131.720001
04/01/2021,129.410004,143301900,133.520004,133.610001,126.760002
05/01/2021,131.009995,97664900,128.889999,131.740005,128.429993
06/01/2021,126.599998,155088000,127.720001,131.050003,126.379997
07/01/2021,130.919998,109578200,128.360001,131.630005,127.860001
08/01/2021,132.050003,105158200,132.429993,132.630005,130.229996
11/01/2021,128.979996,100384500,129.190002,130.169998,128.5
12/01/2021,128.800003,91951100,128.5,129.690002,126.860001
13/01/2021,130.889999,88636800,128.759995,131.449997,128.490005
14/01/2021,128.910004,90221800,130.800003,131,128.759995
15/01/2021,127.139999,111598500,128.779999,130.220001,127
19/01/2021,127.830002,90757300,127.779999,128.710007,126.940002
20/01/2021,132.029999,104319500,128.660004,132.490005,128.550003
21/01/2021,136.869995,120150900,133.800003,139.669998,133.589996
22/01/2021,139.070007,114459400,136.279999,139.850006,135.020004
25/01/2021,142.919998,157611700,143.070007,145.089996,136.539993
26/01/2021,143.160004,98390600,143.600006,144.300003,141.369995
27/01/2021,142.059998,140843800,143.429993,144.300003,140.410004
28/01/2021,137.089996,142621100,139.520004,141.990005,136.699997
29/01/2021,131.960007,177523800,135.830002,136.740005,130.210007
01/02/2021,134.139999,106239800,133.75,135.380005,130.929993
02/02/2021,134.990005,83305400,135.729996,136.309998,134.610001
03/02/2021,133.940002,89880900,135.759995,135.770004,133.610001
04/02/2021,137.389999,84183100,136.300003,137.399994,134.589996
05/02/2021,136.759995,75693800,137.350006,137.419998,135.860001
08/02/2021,136.910004,71297200,136.029999,136.960007,134.919998
09/02/2021,136.009995,76774200,136.619995,137.880005,135.850006
10/02/2021,135.389999,73046600,136.479996,136.990005,134.399994
11/02/2021,135.130005,64280000,135.899994,136.389999,133.770004
12/02/2021,135.369995,60145100,134.350006,135.529999,133.690002
16/02/2021,133.190002,80576300,135.490005,136.009995,132.789993
17/02/2021,130.839996,97918500,131.25,132.220001,129.470001
18/02/2021,129.710007,96856700,129.199997,130,127.410004
19/02/2021,129.869995,87668800,130.240005,130.710007,128.800003
22/02/2021,126,103916400,128.009995,129.720001,125.599998
23/02/2021,125.860001,158273000,123.760002,126.709999,118.389999
24/02/2021,125.349998,111039900,124.940002,125.559998,122.230003
25/02/2021,120.989998,148199500,124.68,126.459999,120.540001
26/02/2021,121.260002,164560400,122.589996,124.849998,121.199997
01/03/2021,127.790001,116307900,123.75,127.93,122.790001
02/03/2021,125.120003,102260900,128.410004,128.720001,125.010002
03/03/2021,122.059998,112966300,124.809998,125.709999,121.839996
04/03/2021,120.129997,178155000,121.75,123.599998,118.620003
05/03/2021,121.419998,153766600,120.980003,121.940002,117.57
08/03/2021,116.360001,154376600,120.93,121,116.209999
09/03/2021,121.089996,129525800,119.029999,122.059998,118.790001
10/03/2021,119.980003,111943300,121.690002,122.169998,119.449997
11/03/2021,121.959999,103026500,122.540001,123.209999,121.260002
12/03/2021,121.029999,88105100,120.400002,121.169998,119.160004
15/03/2021,123.989998,92403800,121.410004,124,120.419998
16/03/2021,125.57,115227900,125.699997,127.220001,124.720001
17/03/2021,124.760002,111932600,124.050003,125.860001,122.339996
18/03/2021,120.529999,121229700,122.879997,123.18,120.32
19/03/2021,119.989998,185549500,119.900002,121.43,119.68
22/03/2021,123.389999,111912300,120.330002,123.870003,120.260002
23/03/2021,122.540001,95467100,123.330002,124.239998,122.139999
24/03/2021,120.089996,88530500,122.82,122.900002,120.07
25/03/2021,120.589996,98844700,119.540001,121.660004,119
26/03/2021,121.209999,94071200,120.349998,121.480003,118.919998
29/03/2021,121.389999,80819200,121.650002,122.580002,120.730003
30/03/2021,119.900002,85671900,120.110001,120.400002,118.860001
31/03/2021,122.150002,118323800,121.650002,123.519997,121.150002
